date,US,Spain,Italy,Germany,Russia,Brazil,France,United Kingdom,Turkey,Iran
5-1-2020,46052,1781,4538,4581,9630,7525,960,6978,7194,2284
5-2-2020,41871,7121,4039,3066,11469,8145,1830,5441,6512,1899
5-3-2020,31584,2702,3303,2351,12317,7070,766,4662,6623,2095
5-4-2020,30603,3150,2641,2715,12113,9934,1553,4288,6693,2254
5-5-2020,28729,3646,3663,3255,11967,9812,2803,5119,7010,2482
5-6-2020,27490,3756,9827,6237,12107,14955,5049,6773,7234,2870
5-7-2020,35025,3844,4706,3185,13795,13744,1984,6193,6816,2710
5-8-2020,32381,4276,4317,1276,13602,15895,2228,5306,5308,2704
5-9-2020,40777,3704,5285,2375,16229,12194,916,4246,4680,2804
5-10-2020,24076,3129,3122,1675,13490,10377,561,4193,4800,2513
5-11-2020,36341,4182,2324,2006,17245,9852,1224,4107,4258,3007
5-12-2020,20723,2611,4026,2255,14717,14641,2213,4045,4866,2464
